ROLL_UP_SHOP,REASON_GROUP,N_MONTHS,AVG_MONTHLY_REVENUE,TOTAL_ABS_ERROR,WAPE_SERIES,MAE_SERIES,BIAS_SERIES,SD_Y,PCT_ZERO_MONTHS,CV,CUSTOMER_GROUP,REASON_CODE_GROUP
699,Routine,12,252643.535,723697.06,0.23870822,60308.08833333,-0.12799508,84779.02105440103,0.0,0.33556774391397365,TRANS,Routine
699,Routine,12,252643.535,723697.06,0.23870822,60308.08833333,-0.12799508,84779.02105440103,0.0,0.33556774391397365,EXT,Routine
699,Routine,12,252643.535,723697.06,0.23870822,60308.08833333,-0.12799508,84779.02105440103,0.0,0.33556774391397365,UNKNOWN,Routine
698,Routine,12,245052.185,602170.04,0.20477612,50180.83666667,-0.14010454,61513.104127990264,0.0,0.25102042704899885,CCCI,Routine
698,Routine,12,245052.185,602170.04,0.20477612,50180.83666667,-0.14010454,61513.104127990264,0.0,0.25102042704899885,CAPX,Routine
698,Routine,12,245052.185,602170.04,0.20477612,50180.83666667,-0.14010454,61513.104127990264,0.0,0.25102042704899885,EXT,Routine
698,Routine,12,245052.185,602170.04,0.20477612,50180.83666667,-0.14010454,61513.104127990264,0.0,0.25102042704899885,UNKNOWN,Routine
698,Routine,12,245052.185,602170.04,0.20477612,50180.83666667,-0.14010454,61513.104127990264,0.0,0.25102042704899885,TRANS,Routine
556,Routine,12,219070.28083333,268071.8,0.10197329,22339.31666667,-0.06634246,27750.731626165187,0.0,0.12667501735334932,CAPX,Routine
556,Routine,12,219070.28083333,268071.8,0.10197329,22339.31666667,-0.06634246,27750.731626165187,0.0,0.12667501735334932,UNKNOWN,Routine
556,Routine,12,219070.28083333,268071.8,0.10197329,22339.31666667,-0.06634246,27750.731626165187,0.0,0.12667501735334932,EXT,Routine
556,Routine,12,219070.28083333,268071.8,0.10197329,22339.31666667,-0.06634246,27750.731626165187,0.0,0.12667501735334932,TRANS,Routine
556,Routine,12,219070.28083333,268071.8,0.10197329,22339.31666667,-0.06634246,27750.731626165187,0.0,0.12667501735334932,CCCI,Routine
642,Routine,12,188745.54,428521.77,0.18919731,35710.1475,-0.06870198,48370.85571076339,0.0,0.2562754897983994,TRANS,Routine
642,Routine,12,188745.54,428521.77,0.18919731,35710.1475,-0.06870198,48370.85571076339,0.0,0.2562754897983994,EXT,Routine
642,Routine,12,188745.54,428521.77,0.18919731,35710.1475,-0.06870198,48370.85571076339,0.0,0.2562754897983994,CAPX,Routine
642,Routine,12,188745.54,428521.77,0.18919731,35710.1475,-0.06870198,48370.85571076339,0.0,0.2562754897983994,UNKNOWN,Routine
642,Routine,12,188745.54,428521.77,0.18919731,35710.1475,-0.06870198,48370.85571076339,0.0,0.2562754897983994,CCCI,Routine
645,Routine,12,187796.07,433761.5,0.19247896,36146.79166667,-0.10748071,42001.3095713414,0.0,0.2236538260430125,CCCI,Routine
645,Routine,12,187796.07,433761.5,0.19247896,36146.79166667,-0.10748071,42001.3095713414,0.0,0.2236538260430125,CAPX,Routine
645,Routine,12,187796.07,433761.5,0.19247896,36146.79166667,-0.10748071,42001.3095713414,0.0,0.2236538260430125,EXT,Routine
645,Routine,12,187796.07,433761.5,0.19247896,36146.79166667,-0.10748071,42001.3095713414,0.0,0.2236538260430125,UNKNOWN,Routine
645,Routine,12,187796.07,433761.5,0.19247896,36146.79166667,-0.10748071,42001.3095713414,0.0,0.2236538260430125,TRANS,Routine
