ROLL_UP_SHOP,REASON_GROUP,N_MONTHS,AVG_MONTHLY_REVENUE,TOTAL_ABS_ERROR,WAPE_SERIES,MAE_SERIES,BIAS_SERIES,SD_Y,PCT_ZERO_MONTHS,CV,CUSTOMER_GROUP,REASON_CODE_GROUP
654,Routine,12,282242.84833333,480787.17,0.14195434,40065.5975,-0.00011854,49865.35011233348,0.0,0.1766753361751873,EXT,Routine
654,Routine,12,282242.84833333,480787.17,0.14195434,40065.5975,-0.00011854,49865.35011233348,0.0,0.1766753361751873,UNKNOWN,Routine
580,Routine,12,119551.7475,477450.26,0.33280586,39787.52166667,-0.0943539,56749.87676197594,0.0,0.4746888100650803,UNKNOWN,Routine
580,Routine,12,119551.7475,477450.26,0.33280586,39787.52166667,-0.0943539,56749.87676197594,0.0,0.4746888100650803,EXT,Routine
580,Routine,12,119551.7475,477450.26,0.33280586,39787.52166667,-0.0943539,56749.87676197594,0.0,0.4746888100650803,CCCI,Routine
580,Routine,12,119551.7475,477450.26,0.33280586,39787.52166667,-0.0943539,56749.87676197594,0.0,0.4746888100650803,TRANS,Routine
580,Routine,12,119551.7475,477450.26,0.33280586,39787.52166667,-0.0943539,56749.87676197594,0.0,0.4746888100650803,CAPX,Routine
655,Routine,12,136329.2875,456631.3,0.27912277,38052.60833333,0.15584673,42424.32328194954,0.0,0.3111900902581152,CAPX,Routine
655,Routine,12,136329.2875,456631.3,0.27912277,38052.60833333,0.15584673,42424.32328194954,0.0,0.3111900902581152,CCCI,Routine
655,Routine,12,136329.2875,456631.3,0.27912277,38052.60833333,0.15584673,42424.32328194954,0.0,0.3111900902581152,EXT,Routine
655,Routine,12,136329.2875,456631.3,0.27912277,38052.60833333,0.15584673,42424.32328194954,0.0,0.3111900902581152,UNKNOWN,Routine
655,Routine,12,136329.2875,456631.3,0.27912277,38052.60833333,0.15584673,42424.32328194954,0.0,0.3111900902581152,TRANS,Routine
